Time,Price,BarState,LiveState,Priority,Composite,TideComp,MarketPhase,InversionActive,RatioScore,FastScore,FastDir,SlowDir,Bias,Tier3Score,CombinedTier,BearDomPct,BullDomPct,DomPriceChange,PriceChangeShort,CountBull,CountBear
55:00.5,7277.25,TICK,BullWarning,NONE,3.7,-8.1,NEUTRAL,N,12.7,-2.9,BAL,ASK,BAL,0,0,0,0,1.5,-0.25,1,1
55:01.6,7277.25,TICK,BullWarning,NONE,1.7,-8.1,NEUTRAL,N,15.7,-14.6,BID,ASK,BAL,0,0,0,0,1.5,0,1,1
55:02.8,7277.25,TICK,BullWarning,NONE,3,-7.9,NEUTRAL,Y,19.1,-2.3,BAL,ASK,BAL,0,0,0,0,1.5,0,1,1
55:03.9,7277.25,TICK,BearWarning,NONE,4.2,-7.9,NEUTRAL,N,20.7,9.3,BAL,ASK,BAL,0,0,0,0,1.5,0,1,2
55:04.9,7277.5,TICK,BearWarning,NONE,3.8,-7.4,NEUTRAL,N,20.5,18.6,ASK,ASK,BAL,0,0,0,0,1.75,0,2,2
55:06.0,7277.5,TICK,BearWarning,NONE,4.1,-7.4,NEUTRAL,N,20,21.3,ASK,ASK,BAL,0,0,0,0,1.75,0,1,2
55:07.0,7277.5,TICK,BearWarning,NONE,3.5,-7.4,NEUTRAL,N,19.6,24.6,ASK,ASK,BAL,0,0,0,0,1.75,0,1,2
55:08.1,7277.5,TICK,BearWarning,NONE,2.4,-7.4,NEUTRAL,N,17.9,26.8,ASK_STRONG,ASK,BAL,0,0,0,0,1.75,0,1,2
55:09.2,7277.5,TICK,BearWarning,NONE,1,-7.7,NEUTRAL,N,18.7,29.7,ASK_STRONG,ASK,BAL,0,0,0,0,1.75,0,1,1
55:10.4,7277.5,TICK,BearWarning,NONE,0.6,-7.7,NEUTRAL,N,22.6,36.3,ASK_STRONG,ASK,BAL,0,0,0,0,1.75,0,1,1
55:11.8,7277.5,TICK,BullWarning,P0_FAST_EXTREME_BULL,0.8,-7.7,NEUTRAL,N,26.2,41.8,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,1.75,0,1,1
55:13.0,7277.5,TICK,BullWarning,P0_FAST_EXTREME_BULL,0.3,-7.7,NEUTRAL,N,27.2,42.1,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,1.75,0,1,1
55:14.1,7277.5,TICK,BullWarning,P0_FAST_EXTREME_BULL,-0.2,-7.5,NEUTRAL,N,23.7,45.1,ASK_STRONG,ASK,BAL,0,0,0,0,1.75,0,2,1
55:14.9,7278,BAR_CLOSE,BullWarning,FINALIZED,4.3,-6.4,NEUTRAL,N,30.5,30.1,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,2.25,0,1,2
55:15.2,7279.5,TICK,BullWarning,P3_ACCUMULATION,4.5,-6.5,ACCUMULATION,N,32.5,26.2,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,3.75,1.5,1,2
55:16.2,7280.5,TICK,BearTrend,P4_VOTE_BEAR,10.3,-4,NEUTRAL,N,14.1,-2.6,BAL,ASK,BAL,0,0,0,0,4.75,-0.25,1,3
55:17.2,7281,TICK,BearWarning,P1_COMP_BEAR_WARN,15.9,-0.9,NEUTRAL,N,-4.4,-19.2,BID,BAL,BAL,0,0,0,0,5.25,0.25,1,3
55:18.2,7281,TICK,BearWarning,P1_COMP_BEAR_WARN,22.5,-0.7,NEUTRAL,N,-14.6,-3.2,BAL,BID,BAL,0,0,3,0,5.25,0,1,3
55:18.4,7281.25,BAR_CLOSE,BearTrend,FINALIZED,21.9,-0.7,NEUTRAL,N,-15.3,-0.8,BAL,BID,BAL,0,0,5,0,5.5,0,1,3
55:19.2,7283.5,TICK,BearWarning,P1_COMP_BEAR_WARN,19.7,-0.7,NEUTRAL,N,-12.6,13.1,ASK,BID,BAL,0,0,8,0,7.75,0,1,3
55:20.3,7283.5,TICK,BearWarning,P1_COMP_BEAR_WARN,18.9,-0.8,ACCUMULATION,N,1.5,16,ASK,BAL,BAL,0,0,11,0,7.75,0,1,3
55:21.4,7284,TICK,BearWarning,P1_COMP_BEAR_WARN,17.9,-0.8,NEUTRAL,N,15.4,6.3,BAL,ASK,BAL,0,0,14,0,8.25,0,1,3
55:22.4,7283.75,TICK,BearWarning,P1_COMP_BEAR_WARN,19.5,-0.7,DISTRIBUTION,N,24.3,3,BAL,ASK,BAL,0,0,15,0,8,0,1,3
55:23.5,7284.25,TICK,BearWarning,P1_COMP_BEAR_WARN,18,-2.2,NEUTRAL,N,33.8,14.3,ASK,ASK_STRONG,BAL,0,0,17,0,8.5,0,1,3
55:24.6,7284.25,TICK,BearWarning,P1_COMP_BEAR_WARN,17.2,-2,NEUTRAL,N,39.4,25.3,ASK_STRONG,ASK_STRONG,BAL,0,0,18,0,8.5,0,1,3
55:25.3,7284.5,BAR_CLOSE,BearWarning,FINALIZED,17.5,-2,ACCUMULATION,N,41.6,29,ASK_STRONG,ASK_STRONG,BAL,0,0,19,0,8.75,0.25,1,3
55:25.6,7286.25,TICK,BearWarning,P1_COMP_BEAR_WARN,19.2,-2.3,NEUTRAL,Y,43,32.3,ASK_STRONG,ASK_STRONG,BAL,0,0,21,0,10.5,0,1,3
55:26.6,7286.5,TICK,BearTrend,P4_VOTE_BEAR,14,-2.9,NEUTRAL,N,39.5,37.4,ASK_STRONG,ASK_STRONG,BAL,0,0,22,0,10.75,0,1,3
55:27.7,7286.75,TICK,BullWarning,P0_FAST_EXTREME_BULL,14.2,-3,NEUTRAL,N,43.1,40,ASK_STRONG,ASK_STRONG,BAL,0,0,22,0,11,0,1,2
55:28.7,7288,TICK,BearWarning,P1_COMP_BEAR_WARN,18.4,-1.2,NEUTRAL,Y,37.1,14.6,ASK,ASK_STRONG,BAL,0,0,25,0,12,0,1,2
55:29.7,7288.25,TICK,BearWarning,P1_COMP_BEAR_WARN,16.2,0.7,NEUTRAL,N,28,3.6,BAL,ASK_STRONG,BAL,0,0,27,0,12.5,-0.25,2,2
55:29.8,7288.5,BAR_CLOSE,BearWarning,FINALIZED,15.5,0.7,NEUTRAL,N,26.9,2.4,BAL,ASK_STRONG,BAL,0,0,28,0,12.75,0.25,2,2
55:30.7,7290,TICK,BearWarning,NONE,10.5,0.5,NEUTRAL,N,21.9,9.9,BAL,ASK,BAL,0,0,27,0,14,0,1,2
55:31.8,7290,TICK,BearWarning,NONE,7.9,0.3,NEUTRAL,N,14.8,19.8,ASK,ASK,BAL,0,0,27,0,14,0.25,2,2
55:32.8,7289.25,TICK,BearWarning,NONE,3.5,0.4,NEUTRAL,N,5.8,20.8,ASK,BAL,BAL,0,0,27,0,13.25,-0.25,2,2
55:33.9,7289,TICK,BearWarning,NONE,-2.4,0.4,NEUTRAL,N,-1.1,22.4,ASK,BAL,BAL,0,0,27,0,13,0,2,2
55:34.9,7288.5,TICK,BearWarning,NONE,-3.1,0.5,NEUTRAL,N,-1.9,15,ASK,BAL,BAL,0,0,26,0,12.5,0,2,2
