Time,Price,BarState,LiveState,Priority,Composite,TideComp,MarketPhase,InversionActive,RatioScore,FastScore,FastDir,SlowDir,Bias,Tier3Score,CombinedTier,BearDomPct,BullDomPct,DomPriceChange,PriceChangeShort,CountBull,CountBear
14:17:44.488,7233.75,TICK,Unknown,NONE,0.0,0.0,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,0,0,0.00,0.00,0,0
14:17:45.544,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-49.4,-52.4,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,75,24,0.00,0.00,0,0
14:17:46.739,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-49.4,-52.4,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,71,28,0.00,0.00,0,0
14:17:48.049,7233.50,TICK,BullWarning,P1_COMP_BULL_WARN,-29.5,-29.7,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,47,52,-0.25,0.00,0,0
14:17:49.452,7233.50,TICK,BullWarning,P1_COMP_BULL_WARN,-29.5,-29.9,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,44,55,-0.25,0.00,0,0
14:17:50.777,7233.75,TICK,BullWarning,P1_COMP_BULL_WARN,-28.5,-29.9,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,43,57,0.00,0.25,0,0
14:17:51.828,7233.75,TICK,BullWarning,P1_COMP_BULL_WARN,-22.3,-29.9,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,40,59,0.00,0.25,0,0
14:17:53.238,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-38.1,-30.0,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,40,60,0.00,0.00,0,0
14:17:54.761,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-48.4,-32.5,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,34,65,0.00,0.00,0,0
14:17:56.159,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-47.3,-32.5,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,34,66,0.00,0.00,0,0
14:17:57.324,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-51.5,-32.5,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,28,72,0.00,0.00,0,0
14:17:58.812,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-50.7,-36.3,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,27,73,0.00,0.00,0,0
14:18:00.500,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-47.7,-34.0,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,22,78,0.00,0.00,0,0
14:18:01.515,7233.75,TICK,BullTrend,P1_COMP_BULL_TREND,-41.4,-34.0,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,22,78,0.00,0.00,0,0
