Time,Price,WindowType,WindowValue,Samples,WeightedDomAvg,WeightedTapeAvg,RatioScore,FastScore,SlowDir,FastDir,Bias
14:17:41.947,7233.75,TICKS=800,1,1,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:17:44.488,7233.75,TICKS=800,2,1.40402529546516,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:17:46.739,7233.75,TICKS=800,5,2.72613252315331,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:17:49.452,7233.50,TICKS=800,11,4.95382164755042,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:17:51.492,7233.75,TICKS=800,16,6.16178129365371,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:17:53.658,7233.75,TICKS=800,20,5.89542917612102,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:17:56.159,7233.75,TICKS=800,25,5.6536251463627,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:17:58.250,7233.75,TICKS=800,29,5.98729536821464,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:18:00.500,7233.75,TICKS=800,34,6.20349251728552,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:18:03.342,7233.75,TICKS=800,42,7.16013489469071,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:18:05.418,7233.75,TICKS=800,47,7.49535843422831,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
14:18:07.673,7233.75,TICKS=800,52,6.97892463808978,0.0164,0.0164,0.8,0.8,BAL,BAL,BAL
14:18:10.865,7233.75,TICKS=800,57,5.17919872554586,0.1521,0.1521,7.6,7.6,BAL,BAL,BAL
14:18:13.104,7233.75,TICKS=800,66,8.43360827724772,0.3279,0.3279,16.4,16.4,ASK,ASK,BAL
14:18:15.280,7233.75,TICKS=800,71,7.54761077515583,0.1746,0.1910,8.7,9.5,BAL,BAL,BAL
14:18:17.605,7233.75,TICKS=800,76,6.86419149190738,0.1013,0.1787,5.1,8.9,BAL,BAL,BAL
14:18:19.879,7234.00,TICKS=800,81,6.61014565243927,0.1115,0.2642,5.6,13.2,BAL,ASK,BAL
14:18:21.921,7234.00,TICKS=800,84,5.54746253790591,0.0997,0.3433,5.0,17.2,BAL,ASK,BAL
14:18:24.076,7233.75,TICKS=800,89,6.68612220290351,0.2497,0.5774,12.5,28.9,ASK,ASK_STRONG,BAL
14:18:26.312,7233.75,TICKS=800,95,7.50962509347329,0.5521,0.8305,27.6,41.5,ASK_STRONG,ASK_STRONG,BAL
14:18:28.786,7234.00,TICKS=800,100,6.59820671378836,0.6972,0.9202,34.9,46.0,ASK_STRONG,ASK_STRONG,BAL
14:18:31.559,7234.00,TICKS=800,105,5.5684916406323,0.8665,0.9648,43.3,48.2,ASK_STRONG,ASK_STRONG,BAL
14:18:33.778,7234.00,TICKS=800,110,6.10304475948138,0.9448,0.9855,47.2,49.3,ASK_STRONG,ASK_STRONG,BAL
14:18:35.896,7234.00,TICKS=800,117,7.79237161239001,0.9797,0.9946,49.0,49.7,ASK_STRONG,ASK_STRONG,BAL
14:18:38.207,7234.00,TICKS=800,123,7.93647315112257,0.9913,0.9977,49.6,49.9,ASK_STRONG,ASK_STRONG,BAL
14:18:40.301,7234.00,TICKS=800,127,6.43423870341873,0.9088,0.9987,45.4,49.9,ASK_STRONG,ASK_STRONG,BAL
14:18:42.564,7234.00,TICKS=800,129,4.42711258896058,0.8449,0.9971,42.2,49.9,ASK_STRONG,ASK_STRONG,BAL
14:18:45.062,7234.00,TICKS=800,133,4.82236905364235,0.7691,0.9633,38.5,48.2,ASK_STRONG,ASK_STRONG,BAL
14:18:47.078,7234.00,TICKS=800,140,7.1596040009734,0.7660,0.7395,38.3,37.0,ASK_STRONG,ASK_STRONG,BAL
14:18:49.106,7234.00,TICKS=800,146,8.05077282986894,0.7809,0.4930,39.0,24.7,ASK_STRONG,ASK,BAL
14:18:51.424,7234.00,TICKS=800,149,5.97155654709289,0.7728,0.4170,38.6,20.9,ASK_STRONG,ASK,BAL
