Time,Price,Lots,Side,Classification,ContributesTo,IcebergFlag,IcebergRefills,IcebergTotalVol,InversionActive,CompositePct,MarketPhase
26:03.7,7296.25,9,SELL,INVERTED,NET,ICEBERG_BID,12,78,INVERT,49,NEUTRAL
26:03.7,7296.25,32,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,13,128,INVERT,49.1,NEUTRAL
26:03.7,7296,18,SELL,INVERTED,NET+TIDE,ICEBERG_BID,13,96,INVERT,48.6,NEUTRAL
26:03.8,7296.25,15,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,14,143,INVERT,49,NEUTRAL
26:03.9,7296.25,9,SELL,INVERTED,NET,ICEBERG_BID,14,105,INVERT,48.9,NEUTRAL
26:04.5,7296.5,26,SELL,INVERTED,NET+TIDE,ICEBERG_BID,15,131,INVERT,48.9,NEUTRAL
26:05.7,7296.75,9,BUY,INVERTED,NET,ICEBERG_ASK,15,152,INVERT,49.4,NEUTRAL
26:05.7,7296.5,8,SELL,INVERTED,NET,ICEBERG_BID,16,139,INVERT,49,NEUTRAL
26:05.8,7296.75,9,BUY,INVERTED,NET,ICEBERG_ASK,16,161,INVERT,49.1,NEUTRAL
26:06.7,7296.5,2,SELL,INVERTED,NET,ICEBERG_BID,17,141,INVERT,48.7,NEUTRAL
26:06.7,7296.75,1,SELL,REAL_SMALL,NET,ICEBERG_BID,18,142,FACE,48.7,NEUTRAL
26:06.8,7296.75,17,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,17,178,INVERT,48.7,NEUTRAL
26:06.8,7296.75,4,SELL,INVERTED,NET,ICEBERG_BID,19,146,INVERT,48.7,NEUTRAL
26:06.9,7296.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,20,147,FACE,48.4,NEUTRAL
26:07.1,7296.75,6,BUY,INVERTED,NET,ICEBERG_ASK,18,184,INVERT,48.4,NEUTRAL
26:07.6,7296.75,6,SELL,INVERTED,NET,ICEBERG_BID,21,153,INVERT,48.3,NEUTRAL
