Time,Price,BarState,LiveState,Priority,Composite,TideComp,MarketPhase,InversionActive,RatioScore,FastScore,FastDir,SlowDir,Bias,Tier3Score,CombinedTier,BearDomPct,BullDomPct,DomPriceChange,PriceChangeShort,CountBull,CountBear
09:25:05.338,7263.25,TICK,BullSignal,P0_FAST_BULL_AT_BOTTOM,7.3,42.6,NEUTRAL,N,-5.5,40.9,ASK_STRONG,BAL,BAL,0.0,0.0,45,2,-0.75,-0.25,1,3
09:25:06.858,7263.25,TICK,BullSignal,P0_FAST_BULL_AT_BOTTOM,8.4,42.6,NEUTRAL,N,-4.8,44.0,ASK_STRONG,BAL,BAL,0.0,0.0,44,2,-0.75,-0.25,1,3
09:25:08.065,7263.25,TICK,BullSignal,P0_FAST_BULL_AT_BOTTOM,8.1,42.6,NEUTRAL,N,-4.5,41.8,ASK_STRONG,BAL,BAL,0.0,0.0,43,2,-0.75,0.00,1,3
09:25:09.236,7263.25,TICK,BullSignal,P0_FAST_BULL_AT_BOTTOM,8.5,42.6,NEUTRAL,N,-4.0,34.5,ASK_STRONG,BAL,BAL,0.0,0.0,42,2,-0.75,0.00,1,3
09:25:10.542,7263.25,TICK,BearTrend,P4_VOTE_BEAR,8.5,42.6,NEUTRAL,N,-4.1,19.5,ASK,BAL,BAL,0.0,0.0,42,2,-0.75,0.00,1,3
09:25:12.249,7263.25,TICK,BearTrend,P4_VOTE_BEAR,8.4,42.6,NEUTRAL,N,-3.7,12.2,ASK,BAL,BAL,0.0,0.0,41,2,-0.75,0.00,1,3
09:25:13.751,7263.00,TICK,BearTrend,P4_VOTE_BEAR,9.5,44.5,NEUTRAL,N,-4.1,7.8,BAL,BAL,BAL,0.0,0.0,39,2,-1.00,0.00,1,3
09:25:14.792,7263.00,TICK,BearTrend,P4_VOTE_BEAR,10.7,46.6,NEUTRAL,N,-8.1,-8.0,BAL,BAL,BAL,0.0,0.0,37,2,-1.00,0.00,1,3
09:25:16.367,7263.00,TICK,BearTrend,P4_VOTE_BEAR,9.4,45.0,NEUTRAL,N,-9.8,-15.8,BID,BAL,BAL,0.0,0.0,37,2,-1.00,0.00,1,3
09:25:17.468,7263.00,TICK,BearTrend,P4_VOTE_BEAR,9.4,45.0,NEUTRAL,N,-11.2,-21.4,BID,BID,BAL,0.0,0.0,37,2,-1.00,0.00,1,3
