Time,Price,Lots,Side,Classification,ContributesTo,IcebergFlag,IcebergRefills,IcebergTotalVol,InversionActive,CompositePct,MarketPhase
55:00.4,7247.75,21,SELL,INVERTED,NET+TIDE,ICEBERG_BID,6,104,INVERT,57,NEUTRAL
55:03.1,7247.5,2,SELL,INVERTED,NET,ICEBERG_BID,7,106,INVERT,57.3,NEUTRAL
55:05.3,7247.75,35,SELL,INVERTED,NET+TIDE,ICEBERG_BID,7,116,INVERT,57.4,NEUTRAL
55:06.4,7248,35,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,5,47,INVERT,57.9,NEUTRAL
55:09.3,7247.75,2,SELL,INVERTED,NET,ICEBERG_BID,7,105,INVERT,57.1,NEUTRAL
55:09.7,7247.75,8,BUY,INVERTED,NET,ICEBERG_ASK,6,55,INVERT,57.2,NEUTRAL
55:09.7,7247.75,2,SELL,INVERTED,NET,ICEBERG_BID,8,107,INVERT,57.1,NEUTRAL
55:09.8,7248,26,SELL,INVERTED,NET+TIDE,,,,INVERT,57.2,NEUTRAL
55:09.8,7248.25,26,BUY,INVERTED,NET+TIDE,,,,INVERT,57.8,NEUTRAL
55:09.8,7248.5,17,BUY,INVERTED,NET+TIDE,,,,INVERT,57.2,NEUTRAL
55:09.8,7248.75,17,BUY,INVERTED,NET+TIDE,,,,INVERT,56.8,NEUTRAL
55:09.8,7249,13,BUY,INVERTED,NET+TIDE,,,,INVERT,56.4,NEUTRAL
55:11.1,7248.25,21,BUY,INVERTED,NET+TIDE,,,,INVERT,56.3,NEUTRAL
55:12.2,7248.5,2,BUY,INVERTED,NET,ICEBERG_ASK,3,36,INVERT,56.1,NEUTRAL
55:12.2,7248.25,10,SELL,INVERTED,NET+TIDE,,,,INVERT,56.1,NEUTRAL
55:12.4,7248.5,8,SELL,INVERTED,NET,,,,INVERT,56.5,NEUTRAL
55:12.4,7248.25,1,SELL,REAL_SMALL,NET,,,,FACE,56.7,NEUTRAL
55:13.0,7248.25,9,BUY,INVERTED,NET,ICEBERG_ASK,4,45,INVERT,56.7,NEUTRAL
55:13.1,7248.25,2,SELL,INVERTED,NET,,,,INVERT,56.6,NEUTRAL
55:13.2,7248.25,4,BUY,INVERTED,NET,ICEBERG_ASK,5,49,INVERT,56.8,NEUTRAL
55:14.7,7248,8,SELL,INVERTED,NET,,,,INVERT,56.4,NEUTRAL
55:14.9,7248,5,BUY,INVERTED,NET,,,,INVERT,56.4,NEUTRAL
55:16.1,7247.75,3,SELL,INVERTED,NET,,,,INVERT,56.3,NEUTRAL
55:17.1,7247.75,1,BUY,REAL_SMALL,NET,,,,FACE,56.3,NEUTRAL
55:17.7,7247.5,40,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,3,46,INVERT,56.3,NEUTRAL
55:23.9,7247.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,4,47,FACE,55.3,NEUTRAL
55:24.1,7247.5,6,BUY,INVERTED,NET,ICEBERG_ASK,5,53,INVERT,55.3,NEUTRAL
55:24.7,7247.5,26,SELL,INVERTED,NET+TIDE,,,,INVERT,55.1,NEUTRAL
55:25.5,7247.75,8,BUY,INVERTED,NET,,,,INVERT,55.3,NEUTRAL
55:26.6,7247.25,1,SELL,REAL_SMALL,NET,,,,FACE,55.2,NEUTRAL
55:27.7,7247.5,1,BUY,REAL_SMALL,NET,,,,FACE,55.3,NEUTRAL
55:28.8,7247.5,3,SELL,INVERTED,NET,,,,INVERT,55.4,NEUTRAL
55:32.2,7247.5,9,BUY,INVERTED,NET,,,,INVERT,55.5,NEUTRAL
55:32.3,7247.25,33,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,4,51,INVERT,55.4,NEUTRAL
55:33.6,7247,1,SELL,REAL_SMALL,NET,,,,FACE,54.7,NEUTRAL
55:38.6,7247.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,5,52,FACE,54.7,NEUTRAL
55:38.7,7247.25,4,SELL,INVERTED,NET,,,,INVERT,54.7,NEUTRAL
55:39.9,7247.5,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,6,53,FACE,54.8,NEUTRAL
55:40.6,7247.25,18,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,7,71,INVERT,54.7,NEUTRAL
55:44.0,7247.5,23,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,8,94,INVERT,54.4,NEUTRAL
55:47.3,7247.25,16,SELL,INVERTED,NET+TIDE,,,,INVERT,54.1,NEUTRAL
55:47.3,7247,16,SELL,INVERTED,NET+TIDE,,,,INVERT,54.1,NEUTRAL
55:48.4,7246.75,2,SELL,INVERTED,NET,,,,INVERT,54.3,NEUTRAL
55:49.2,7247.25,10,BUY,INVERTED,NET+TIDE,,,,INVERT,54.3,NEUTRAL
55:53.3,7247,8,SELL,INVERTED,NET,ICEBERG_BID,7,35,INVERT,54.2,NEUTRAL
55:54.7,7247.25,10,BUY,INVERTED,NET+TIDE,,,,INVERT,54.3,NEUTRAL
55:54.8,7247,8,SELL,INVERTED,NET,,,,INVERT,54.2,NEUTRAL
55:55.0,7247,5,BUY,INVERTED,NET,,,,INVERT,54.1,NEUTRAL
55:55.4,7246.75,6,SELL,INVERTED,NET,ICEBERG_BID,3,30,INVERT,54,NEUTRAL
55:57.5,7247,3,SELL,INVERTED,NET,ICEBERG_BID,7,37,INVERT,54,NEUTRAL
55:58.7,7247.25,1,BUY,REAL_SMALL,NET,,,,FACE,54,NEUTRAL
55:59.4,7247,3,SELL,INVERTED,NET,ICEBERG_BID,4,33,INVERT,54.1,NEUTRAL
56:00.0,7246.75,1,SELL,REAL_SMALL,NET,ICEBERG_BID,5,34,FACE,53.9,NEUTRAL
