Time,Price,WindowType,WindowValue,Samples,WeightedDomAvg,WeightedTapeAvg,RatioScore,FastScore,SlowDir,FastDir,Bias
59:29.4,7247,TICKS=800,800,2.136496511,-0.1044,0.1896,-5.2,9.5,BAL,BAL,BAL
59:31.4,7247.25,TICKS=800,800,2.577720431,-0.1653,0.1137,-8.3,5.7,BAL,BAL,BAL
59:37.9,7247,TICKS=800,800,1.25527132,-0.1865,0.2076,-9.3,10.4,BAL,ASK,BAL
59:40.3,7247,TICKS=800,800,2.99607393,-0.1546,0.3496,-7.7,17.5,BAL,ASK,BAL
59:42.8,7247,TICKS=800,800,3.46575601,-0.1581,0.4159,-7.9,20.8,BAL,ASK,BAL
59:44.9,7247,TICKS=800,800,3.490736931,-0.1392,0.449,-7,22.5,BAL,ASK,BAL
59:47.0,7247,TICKS=800,800,3.40318804,-0.127,0.4817,-6.3,24.1,BAL,ASK,BAL
59:49.3,7247,TICKS=800,800,3.537081579,-0.1227,0.4908,-6.1,24.5,BAL,ASK,BAL
59:51.7,7247,TICKS=800,800,6.270793561,-0.1618,0.8067,-8.1,40.3,BAL,ASK_STRONG,BAL
59:54.3,7247,TICKS=800,800,6.13678603,-0.1493,0.923,-7.5,46.2,BAL,ASK_STRONG,BAL
59:56.8,7247,TICKS=800,800,4.858948807,-0.115,0.959,-5.8,48,BAL,ASK_STRONG,BAL
